place_id,title,rating,reviews,price,categories,link
abalone-thai-restaurant-christchurch-city,Abalone Thai Restaurant,4.0,4,,Thai,https://www.yelp.com/biz/abalone-thai-restaurant-christchurch-city?osq=Restaurant
QXQ0xt8UfMrbGaHPZWx4xg,Crisp Cafe & Gifts,4.0,1,,"Cafes, Gift Shops",https://www.yelp.com/biz/crisp-cafe-and-gifts-christchurch?osq=Restaurant
crisp-cafe-and-gifts-christchurch,Crisp Cafe & Gifts,4.0,1,,"Cafes, Gift Shops",https://www.yelp.com/biz/crisp-cafe-and-gifts-christchurch?osq=Restaurant
eAjfzMJqab5V_f-AxwIABw,Hells Pizza,4.5,4,$$,"Italian, Pizza",https://www.yelp.com/biz/hells-pizza-christchurch?osq=Restaurant
hells-pizza-christchurch,Hells Pizza,4.5,4,$$,"Italian, Pizza",https://www.yelp.com/biz/hells-pizza-christchurch?osq=Restaurant
lQggXAVM3C0zaRlPlkkr2Q,Buddha Stix,2.7,3,$$,Thai,https://www.yelp.com/biz/buddha-stix-christchurch?osq=Restaurant
buddha-stix-christchurch,Buddha Stix,2.7,3,$$,Thai,https://www.yelp.com/biz/buddha-stix-christchurch?osq=Restaurant
3SGm_b79hqJRgsWayAukxA,Arjee Bhajee,4.5,2,,Indian,https://www.yelp.com/biz/arjee-bhajee-christchurch-2?osq=Restaurant
arjee-bhajee-christchurch-2,Arjee Bhajee,4.5,2,,Indian,https://www.yelp.com/biz/arjee-bhajee-christchurch-2?osq=Restaurant
F2QRKkSyzU3cVgeRpnJ2LQ,Malaysia Delights,3.0,1,$,Malaysian,https://www.yelp.com/biz/malaysia-delights-christchurch-4?osq=Restaurant
malaysia-delights-christchurch-4,Malaysia Delights,3.0,1,$,Malaysian,https://www.yelp.com/biz/malaysia-delights-christchurch-4?osq=Restaurant
coPUg-Vv3sL9wAQgYzkcXA,Harrington’s - Belfast,3.0,1,,"New Zealand, Cafes",https://www.yelp.com/biz/harringtons-belfast-christchurch?osq=Restaurant
harringtons-belfast-christchurch,Harrington’s - Belfast,3.0,1,,"New Zealand, Cafes",https://www.yelp.com/biz/harringtons-belfast-christchurch?osq=Restaurant
GVkZdNpvxtrt8l91AVB1kQ,The Birdwood,4.0,1,,"Pizza, Juice Bars & Smoothies, Breakfast & Brunch",https://www.yelp.com/biz/the-birdwood-beckenham?osq=Restaurant
the-birdwood-beckenham,The Birdwood,4.0,1,,"Pizza, Juice Bars & Smoothies, Breakfast & Brunch",https://www.yelp.com/biz/the-birdwood-beckenham?osq=Restaurant
x4dytNcJ7SFq1w06cj16TQ,Sushi Soldier,4.7,3,,Sushi Bars,https://www.yelp.com/biz/sushi-soldier-christchurch?osq=Restaurant
sushi-soldier-christchurch,Sushi Soldier,4.7,3,,Sushi Bars,https://www.yelp.com/biz/sushi-soldier-christchurch?osq=Restaurant
ITZQKPNxwdejvfeCZ6qgcA,Cleaver and Co,4.0,1,,"Barbeque, Bars",https://www.yelp.com/biz/cleaver-and-co-christchurch?osq=Restaurant
cleaver-and-co-christchurch,Cleaver and Co,4.0,1,,"Barbeque, Bars",https://www.yelp.com/biz/cleaver-and-co-christchurch?osq=Restaurant
VZbS6ZWxQIpwOom6GcvmDA,Universo Brasserie & Bar,3.8,4,,"Bars, Brasseries",https://www.yelp.com/biz/universo-brasserie-and-bar-christchurch?osq=Restaurant
universo-brasserie-and-bar-christchurch,Universo Brasserie & Bar,3.8,4,,"Bars, Brasseries",https://www.yelp.com/biz/universo-brasserie-and-bar-christchurch?osq=Restaurant
fhJxwPCg0l8_EqJqzYn8wg,Little India,4.4,7,,Indian,https://www.yelp.com/biz/little-india-christchurch-2?osq=Restaurant
little-india-christchurch-2,Little India,4.4,7,,Indian,https://www.yelp.com/biz/little-india-christchurch-2?osq=Restaurant
6B9yZJpqJHewADcoOPhrmA,Great Wall Restaurant,3.0,1,,Szechuan,https://www.yelp.com/biz/great-wall-restaurant-christchurch?osq=Restaurant
great-wall-restaurant-christchurch,Great Wall Restaurant,3.0,1,,Szechuan,https://www.yelp.com/biz/great-wall-restaurant-christchurch?osq=Restaurant
gomMS8QWtYWBF3IWSMII_g,Johnny Sausage,5.0,1,,"Bagels, Pizza, Beer Bar",https://www.yelp.com/biz/johnny-sausage-christchurch?osq=Restaurant
